module_id,trace_id,remote_child_count,depth_layer,duration,Total_Child,max_depth
2464577172090840000 ,169615065::4839060748511607558,1,1,3334,1,2
4438827258459200000 ,169615065::4839060748511607558,0,1,404,0,2
1204591955830660000 ,169615065::4839060748511607558,7,0,38453,7,2
5894885090065400000 ,169615065::4839060748511607558,0,2,1080,0,2
7111585984585590000 ,2886860840::6980172028718323808,0,1,474,0,1
6751564886877510000 ,2886860840::6980172028718323808,1,0,2858,1,1
6594932307750970000 ,169166534::3384884922638798786,3,1,8505,3,2
309086915025080000 ,169166534::3384884922638798786,4,2,2067,4,2
6599659960312250000 ,169166534::3384884922638798786,1,1,5180,1,2
2049585900384450000 ,169166534::3384884922638798786,0,1,2844,0,2
8040656181212280000 ,169166534::3384884922638798786,3,2,4207,3,2
731593128842963000 ,169166534::3384884922638798786,3,0,21773,3,2
931114994443907000 ,169166534::3384884922638798786,3,2,2278,3,2
2516617708606120000 ,177289180::1128482888242883398,1,2,3024,1,2
6317062294878980000 ,177289180::1128482888242883398,5,1,24147,5,2
5366390685994080000 ,177289180::1128482888242883398,1,0,26019,1,2
6366010118579880000 ,177289180::1128482888242883398,4,2,9922,4,2
848251145943693000 ,2886861530::970212624952443688,0,0,632,0,0
5059986463469730000 ,2886860804::3074319792348359265,0,0,750,0,0
8569050315953530000 ,177693728::3385567739154415005,0,0,1314,0,0
3522851737295950000 ,2886861639::6432280566777378699,0,1,901,0,1
392682871457490000 ,2886861639::6432280566777378699,1,0,2704,1,1
6918577661055680 ,177459588::6918577661055689,0,0,86,0,0
4439202724170060000 ,169619221::6089783825323170609,0,0,11601,0,0
1472257770214720000 ,177656371::1904350115295194547,0,0,640,0,0
7190875332662860 ,169492948::7190875332662868,0,0,4952,0,0
2007635231145740000 ,177367582::2007635231145741150,0,0,211,0,0
5891515709207710000 ,177564330::7083002444576381331,0,0,1047,0,0
4121915708226400000 ,2886860824::6138748359622424157,0,0,850,0,0
5140259525607350000 ,177718751::3874205216982565318,0,0,647,0,0
237330864214060000 ,177554146::8767361757241203,0,1,716,0,1
8767361757241200 ,177554146::8767361757241203,1,0,4427,1,1
1611607128906570000 ,169698252::624769421504725,0,1,230,0,1
624769421504725 ,169698252::624769421504725,1,0,2347,1,1
5614087423625650 ,177555429::5614087423625654,0,0,1922,0,0
1962148796616570 ,169101785::1962148796616572,0,0,82,0,0
4625286609345290 ,177528235::4625286609345291,0,0,109916,0,0
1839433727208480000 ,177383211::5658667584863495806,0,1,1192,0,1
2656876690023870000 ,177383211::5658667584863495806,1,0,4206,1,1
1805014842031770000 ,2886860896::4876430373683127361,0,0,435,0,0
1098430195263590000 ,2886860831::4678581674897772472,0,0,796,0,0
4551433120435480 ,177391269::4551433120435486,0,0,60,0,0
2195159761161540 ,177664082::2195159761161540,0,0,86,0,0
3557992658275750000 ,177396508::8141332222677572084,0,0,1026,0,0
4290560587900420 ,177315373::4290560587900427,0,0,25297,0,0
5945904381823890000 ,169813264::5945904381823892872,0,0,881,0,0
6424292350582850 ,177526550::6424292350582853,0,0,299,0,0
5182985498270640 ,169546964::5182985498270645,0,0,67,0,0
3905299604404660 ,177392098::3905299604404660,1,0,264,1,0
2628145637497320 ,177223264::2628145637497321,0,0,3469,0,0
4062536353814900 ,169552285::4062536353814907,0,0,8734,0,0
2776059989811720 ,169433366::2776059989811725,0,0,8010,0,0
2441127017892340000 ,177365915::1265168807612021967,0,0,2645,0,0
1782189819425210 ,177348972::1782189819425214,0,0,15020,0,0
3357032651268960000 ,2886860857::7044673503612361140,1,0,3598,1,1
1085776911365770000 ,2886860857::7044673503612361140,0,1,992,0,1
3276173772584380000 ,177564219::6182274096889823024,0,0,733,0,0
428395634086760 ,177289508::428395634086760,2,0,3625,2,0
2266427734509140000 ,2886860804::8712402344926188887,0,1,472,0,1
5059986463469480000 ,2886860804::8712402344926188887,1,0,2277,1,1
5124405659515550000 ,2886860822::6758792292516454398,0,0,740,0,0
7436233102132140000 ,177391882::7764803269540268500,1,5,2190,1,5
503103028243303000 ,177391882::7764803269540268500,1,3,1393,1,5
4574538219012990000 ,177391882::7764803269540268500,1,1,17583,1,5
2650090596924750000 ,177391882::7764803269540268500,0,2,3933,0,5
541584203657081000 ,177391882::7764803269540268500,0,1,199,0,5
8217587945862430000 ,177391882::7764803269540268500,1,2,2890,1,5
300318269595087000 ,177391882::7764803269540268500,1,2,1893,1,5
8913210859710980000 ,177391882::7764803269540268500,0,2,1169,0,5
3834696470806320000 ,177391882::7764803269540268500,0,2,469,0,5
911502072621217000 ,177391882::7764803269540268500,1,3,1163,1,5
6316904478834390000 ,177391882::7764803269540268500,1,2,5031,1,5
3914157867765520000 ,177391882::7764803269540268500,1,2,1619,1,5
8979998083266860000 ,177391882::7764803269540268500,1,4,992,1,5
6646743950230160000 ,177391882::7764803269540268500,1,2,2776,1,5
4543470171115520000 ,177391882::7764803269540268500,1,2,1952,1,5
1035538137071220000 ,177391882::7764803269540268500,0,3,878,0,5
5320024311990630000 ,177391882::7764803269540268500,0,1,89,0,5
8858102127800970000 ,177391882::7764803269540268500,1,3,1066,1,5
4576309368420920000 ,177391882::7764803269540268500,2,1,2560,2,5
902015772631798000 ,177391882::7764803269540268500,0,2,1445,0,5
3557082395085970000 ,177391882::7764803269540268500,4,2,12679,4,5
7938671235377170000 ,177391882::7764803269540268500,1,3,2159,1,5
2103526900012500000 ,177391882::7764803269540268500,0,3,875,0,5
1103734081128610000 ,177391882::7764803269540268500,1,3,2065,1,5
6798241521231310000 ,177391882::7764803269540268500,1,2,1774,1,5
8623669576177550000 ,177391882::7764803269540268500,1,3,4033,1,5
7910827803634270000 ,177391882::7764803269540268500,1,1,3160,1,5
9027289493669550000 ,177391882::7764803269540268500,1,2,2319,1,5
2914368466444350000 ,177391882::7764803269540268500,1,1,2005,1,5
614979840104739000 ,177391882::7764803269540268500,0,2,520,0,5
5351820487989320000 ,177391882::7764803269540268500,0,2,969,0,5
1722669314945400000 ,177391882::7764803269540268500,1,1,2461,1,5
399245320914416000 ,177391882::7764803269540268500,1,1,4955,1,5
5368291590271210000 ,177391882::7764803269540268500,1,3,1752,1,5
6524179538401640000 ,177391882::7764803269540268500,0,1,304,0,5
1802980493991340000 ,177391882::7764803269540268500,1,4,974,1,5
875581404380796000 ,177391882::7764803269540268500,1,2,3386,1,5
7568403380173920000 ,177391882::7764803269540268500,1,4,3317,1,5
3202366535014940000 ,177391882::7764803269540268500,26,0,186455,26,5
3200575951445310000 ,177391882::7764803269540268500,1,2,2145,1,5
4631185293077710000 ,177391882::7764803269540268500,1,2,5468,1,5
2811795195362020000 ,177391882::7764803269540268500,1,1,7090,1,5
2556872985765590000 ,177391882::7764803269540268500,0,1,352,0,5
5919988952550030000 ,177391882::7764803269540268500,1,3,1586,1,5
1586854780358780000 ,177391882::7764803269540268500,0,2,1151,0,5
1834722880081170000 ,177391882::7764803269540268500,0,1,2340,0,5
2417990647133780000 ,177391882::7764803269540268500,5,1,33962,5,5
1844688114930770000 ,177391882::7764803269540268500,1,1,2685,1,5
3766326287900630000 ,177391882::7764803269540268500,0,1,3051,0,5
2320386436146880000 ,177391882::7764803269540268500,0,1,88,0,5
1083410172737020000 ,177391882::7764803269540268500,1,2,3130,1,5
5878370702622040000 ,177391882::7764803269540268500,0,1,821,0,5
8256361164969240000 ,177391882::7764803269540268500,10,1,15951,10,5
1412101655073370000 ,177391882::7764803269540268500,1,3,5606,1,5
3742664121478270000 ,177391882::7764803269540268500,2,3,1744,2,5
1034678339344110000 ,177391882::7764803269540268500,1,2,2937,1,5
2660478796140490000 ,177391882::7764803269540268500,0,1,860,0,5
7317718671875510000 ,177391882::7764803269540268500,1,1,2269,1,5
6092933827814160000 ,177391882::7764803269540268500,1,1,2903,1,5
6949220481489280000 ,177391882::7764803269540268500,1,2,757,1,5
5028351452409520000 ,177391882::7764803269540268500,0,2,1081,0,5
2316265160273720000 ,177391882::7764803269540268500,1,1,4662,1,5
1943460376508760000 ,177391882::7764803269540268500,0,2,1733,0,5
8246744451538810000 ,177391882::7764803269540268500,0,2,250,0,5
8897694563079110000 ,177391882::7764803269540268500,1,1,3386,1,5
5535888761051360000 ,177391882::7764803269540268500,1,2,701,1,5
6025533819011050000 ,177391882::7764803269540268500,0,1,282,0,5
4546502232627360000 ,177391882::7764803269540268500,1,3,790,1,5
8340673866087150000 ,169092485::4254157411505001269,0,1,1171,0,1
6495031596828480000 ,169092485::4254157411505001269,1,0,5926,1,1
3868543456350840000 ,177461463::703164064763921682,1,2,9139,1,2
809860316041362000 ,177461463::703164064763921682,4,2,13176,4,2
2441075576568290000 ,177461463::703164064763921682,5,1,31590,5,2
8077214031118560000 ,177461463::703164064763921682,1,0,33096,1,2
7209647265783580000 ,177391246::5618886325484543199,0,0,1468,0,0
5117073199186480000 ,169697756::2326986915454012272,0,0,165,0,0
9207994364728300000 ,2886860845::2841106467412288375,1,0,3583,1,1
3385759475352950000 ,2886860845::2841106467412288375,0,1,1107,0,1
1846862724627690 ,169373211::1846862724627691,0,0,5232,0,0
7862594953976250 ,177569239::7862594953976254,0,0,61,0,0
4435816080802750000 ,2886860822::3604770214134767875,0,1,701,0,1
5124405659515620000 ,2886860822::3604770214134767875,1,0,2482,1,1
998985825105315000 ,169370921::3017994340052158796,1,1,3176,1,2
6101501475247900000 ,169370921::3017994340052158796,0,2,1336,0,2
7255160411262530000 ,169370921::3017994340052158796,2,0,17088,2,2
1471648225287300000 ,169370921::3017994340052158796,2,1,9102,2,2
1684343207246880000 ,169370921::3017994340052158796,0,2,1396,0,2
3145686869508110000 ,169370921::3017994340052158796,0,2,785,0,2
3554375179091490000 ,2886860889::2673784923414500273,1,0,2787,1,1
7283630097996720000 ,2886860889::2673784923414500273,0,1,523,0,1
7021340473846840000 ,177224601::286183316346233828,0,0,1867,0,0
1833679190907430000 ,2886860818::7776522856679178990,0,1,681,0,1
657427525991833000 ,2886860818::7776522856679178990,1,0,2963,1,1
7142905284860320000 ,169633452::4113045969818183119,0,2,399,0,3
5440715438572280000 ,169633452::4113045969818183119,0,2,1870,0,3
2556663631737650000 ,169633452::4113045969818183119,1,2,4380,1,3
2851672791387240000 ,169633452::4113045969818183119,0,2,1441,0,3
6820592706344050000 ,169633452::4113045969818183119,1,2,657,1,3
6600502127335350000 ,169633452::4113045969818183119,3,1,10682,3,3
5470523096514360000 ,169633452::4113045969818183119,0,3,2005,0,3
1922599437571700000 ,169633452::4113045969818183119,0,2,742,0,3
6656494352194730000 ,169633452::4113045969818183119,0,1,1167,0,3
3678235907718170000 ,169633452::4113045969818183119,1,1,1634,1,3
4186224766904050000 ,169633452::4113045969818183119,6,0,23367,6,3
7676076240620610000 ,169633452::4113045969818183119,2,1,4653,2,3
8234826300400080000 ,177571139::3722957310218443,0,1,1044,0,1
3722957310218440 ,177571139::3722957310218443,1,0,4041,1,1
8200386014100670000 ,2886860838::3527547129964777174,0,0,232,1,1
8200386014100670000 ,2886860838::3527547129964777174,0,1,190,0,1
6751564886877480000 ,2886860840::8711607449679114775,1,0,17599,1,1
563104298999285000 ,2886860840::8711607449679114775,0,1,2091,0,1
4854986379180740000 ,169157254::4916481772822959297,1,2,3591,1,2
4929672202437180000 ,169157254::4916481772822959297,4,2,12327,4,2
5846543581852340000 ,169157254::4916481772822959297,1,0,33639,1,2
3082078169760820000 ,169157254::4916481772822959297,6,1,31320,6,2
7765466875141570000 ,169157254::4916481772822959297,7,2,14308,7,2
8608403305994630000 ,177717651::9095956031962455944,0,0,9879,0,0
8185149004567570 ,169547605::8185149004567572,0,0,59,0,0
1382594212749070000 ,177527789::4956379005341809488,4,2,12463,4,2
4467533724403340000 ,177527789::4956379005341809488,6,1,23538,6,2
3820829080741890000 ,177527789::4956379005341809488,1,2,2689,1,2
8488009128979410000 ,177527789::4956379005341809488,4,2,12517,4,2
8787742566084960000 ,177527789::4956379005341809488,1,0,25536,1,2
4511460490850570000 ,2886860808::7191922953103722771,3,3,3227,3,4
238998634990435000 ,2886860808::7191922953103722771,3,3,7174,3,4
7632131073368930000 ,2886860808::7191922953103722771,1,4,466,1,4
831158173317213000 ,2886860808::7191922953103722771,1,3,3614,1,4
669719444219991000 ,2886860808::7191922953103722771,0,1,99,0,4
6936538602396400000 ,2886860808::7191922953103722771,1,2,8477,1,4
3577821183495320000 ,2886860808::7191922953103722771,1,4,686,1,4
327260413877155000 ,2886860808::7191922953103722771,1,2,5678,1,4
5126419524124840000 ,2886860808::7191922953103722771,2,2,3929,2,4
5668326096863640000 ,2886860808::7191922953103722771,0,3,3066,0,4
2690610412438810000 ,2886860808::7191922953103722771,1,2,9480,1,4
2502339731104910000 ,2886860808::7191922953103722771,0,4,1689,0,4
4309615758268950000 ,2886860808::7191922953103722771,1,2,4309,1,4
8949322649357520000 ,2886860808::7191922953103722771,0,2,662,0,4
7660014939431130000 ,2886860808::7191922953103722771,1,3,2293,1,4
5101168197180300000 ,2886860808::7191922953103722771,0,2,116,0,4
6308562711231470000 ,2886860808::7191922953103722771,0,3,1191,0,4
2803519667547160000 ,2886860808::7191922953103722771,1,4,1350,1,4
8081287245879080000 ,2886860808::7191922953103722771,0,2,913,0,4
7248319281348490000 ,2886860808::7191922953103722771,0,3,189,0,4
5608130452341970000 ,2886860808::7191922953103722771,1,2,4771,1,4
8375258807574340000 ,2886860808::7191922953103722771,1,2,1964,1,4
2825867686631710000 ,2886860808::7191922953103722771,1,2,5386,1,4
8859850362767820000 ,2886860808::7191922953103722771,0,3,679,0,4
2191380485362970000 ,2886860808::7191922953103722771,0,4,1980,0,4
9158854389992480000 ,2886860808::7191922953103722771,1,2,569,1,4
